"symbol","date","adjusted","sma_50","invested","shares","total_shares_value","profit"
"SPY",1996-04-30,42.329243,41.88558288,37000,1186.9373556756,50242.1597541698,13242.1597541698
"SPY",1996-05-31,43.290112,42.37839482,38000,1210.03731901134,52382.6510641805,14382.6510641805
"SPY",1996-06-28,43.672024,43.0404902,39000,1232.9352730883,53844.7788367587,14844.7788367587
"SPY",1996-07-31,41.709591,42.85132788,40000,1256.91057411678,52425.2259699862,12425.2259699862
"SPY",1996-08-30,42.512867,42.69832462,41000,1280.43286443891,54434.8720683205,13434.8720683205
"SPY",1996-09-30,44.88818,43.27714604,42000,1302.71044397098,58476.3008968494,16476.3008968494
"SPY",1996-10-31,46.339466,44.85630474,43000,1324.29032147756,61366.9063262383,18366.9063262383
"SPY",1996-11-29,49.722435,46.75072928,44000,1344.40196725677,66846.9394307969,22846.9394307969
"SPY",1996-12-31,48.539139,48.13646762,45000,1365.00389841175,66256.1139605499,21256.1139605499
"SPY",1997-01-31,51.538181,49.59316576,46000,1384.4069891029,71349.8179820504,25349.8179820504
"SPY",1997-02-28,52.03117,50.99722706,47000,1403.62623787244,73032.3153992013,26032.3153992013
"SPY",1997-03-31,49.735428,52.09973388,48000,1423.73262963808,70809.9516926155,22809.9516926155
"SPY",1997-04-30,52.849041,51.53957462,49000,1442.65444886277,76242.9041167809,27242.9041167809
"SPY",1997-05-30,56.18948,52.5454831,50000,1460.45137455064,82062.0033012856,32062.0033012856
"SPY",1997-06-30,58.498985,55.74858962,51000,1477.5456882383,86434.9230530671,35434.9230530671
"SPY",1997-07-31,63.135853,59.2117156,52000,1493.38454924173,94286.1073733973,42286.1073733973
"SPY",1997-08-29,59.865215,61.0761816,53000,1510.088740482,90401.7871180344,37401.7871180344
"SPY",1997-09-30,62.744156,61.97766522,54000,1526.02647976724,95749.2435066464,41749.2435066464
"SPY",1997-10-31,61.206745,62.48951218,55000,1542.36454839023,94403.113610361,39403.113610361
"SPY",1997-11-28,63.57523,62.9359274,56000,1558.09394488632,99056.180907755,43056.180907755
"SPY",1997-12-31,64.787743,63.15610764,57000,1573.52896320452,101945.390071151,44945.390071151
"SPY",1998-01-30,65.622055,64.1268839,58000,1588.76774230097,104258.2041675,46258.2041675
"SPY",1998-02-27,70.169319,65.7339564,59000,1603.01898506991,112482.750526427,53482.7505264265
"SPY",1998-03-31,73.592384,69.3886987,60000,1616.60734769178,118969.988708555,58969.9887085548
"SPY",1998-04-30,74.533752,72.72228682,61000,1630.02408807002,121491.811134237,60491.8111342368
"SPY",1998-05-29,72.985748,74.23649214,62000,1643.72539315221,119968.527325808,57968.527325808
"SPY",1998-06-30,76.093018,74.35078836,63000,1656.86720335088,126076.025928188,63076.0259281881
"SPY",1998-07-31,75.064751,75.79300886,64000,1670.18903532498,125372.3240596,61372.3240596001
"SPY",1998-08-31,64.467117,75.1516077000001,65000,1685.70081941795,108672.271952413,43672.2719524128
"SPY",1998-09-30,68.569725,71.48991758,66000,1700.28451506497,116588.041619763,50588.0416197635
"SPY",1998-10-30,74.129456,69.51912336,67000,1713.77442924969,127041.16614699,60041.1661469902
"SPY",1998-11-30,78.257156,72.83556992,68000,1726.55281337599,135115.112858604,67115.1128586041
"SPY",1998-12-31,83.3769,77.94662376,69000,1738.54654305412,144954.621265569,75954.621265569
"SPY",1999-01-29,86.313889,81.70846744,70000,1750.13216399631,151060.713338507,81060.713338507
