"symbol","date","profit"
"SPY",2010-10-29,0
"SPY",2010-11-30,0
"SPY",2010-12-31,0
"SPY",2011-01-31,0
"SPY",2011-02-28,0
"SPY",2011-03-31,0
"SPY",2011-04-29,0
"SPY",2011-05-31,0
"SPY",2011-06-30,0
"SPY",2011-07-29,37836.9030287451
"SPY",2011-08-31,0
"SPY",2011-09-30,0
"SPY",2011-10-31,0
"SPY",2011-11-30,0
"SPY",2011-12-30,0
"SPY",2012-01-31,0
"SPY",2012-02-29,0
"SPY",2012-03-30,0
"SPY",2012-04-30,0
"SPY",2012-05-31,17764.5146386639
"SPY",2012-06-29,0
"SPY",2012-07-31,0
"SPY",2012-08-31,0
"SPY",2012-09-28,0
"SPY",2012-10-31,14509.8507826991
"SPY",2012-11-30,0
"SPY",2012-12-31,0
"SPY",2013-01-31,0
"SPY",2013-02-28,0
"SPY",2013-03-28,0
"SPY",2013-04-30,0
"SPY",2013-05-31,0
"SPY",2013-06-28,48141.4084987993
"SPY",2013-07-31,0
"SPY",2013-08-30,-12119.1494671642
"SPY",2013-09-30,0
"SPY",2013-10-31,0
"SPY",2013-11-29,0
"SPY",2013-12-31,0
"SPY",2014-01-31,26088.6571123255
"SPY",2014-02-28,0
"SPY",2014-03-31,0
"SPY",2014-04-30,0
"SPY",2014-05-30,0
"SPY",2014-06-30,0
"SPY",2014-07-31,19641.0641441538
"SPY",2014-08-29,0
"SPY",2014-09-30,-6217.54853598721
"SPY",2014-10-31,0
"SPY",2014-11-28,0
"SPY",2014-12-31,0
"SPY",2015-01-30,-2517.32193088054
"SPY",2015-02-27,0
"SPY",2015-03-31,-7035.2516007899
"SPY",2015-04-30,0
"SPY",2015-05-29,0
"SPY",2015-06-30,-9016.80122470373
"SPY",2015-07-31,0
"SPY",2015-08-31,-26628.8418336205
"SPY",2015-09-30,0
"SPY",2015-10-30,0
"SPY",2015-11-30,0
"SPY",2015-12-31,-5675.0877994654
"SPY",2016-01-29,0
"SPY",2016-02-29,0
"SPY",2016-03-31,0
"SPY",2016-04-29,0
"SPY",2016-05-31,0
"SPY",2016-06-30,0
"SPY",2016-07-29,0
"SPY",2016-08-31,0
"SPY",2016-09-30,0
"SPY",2016-10-31,18531.8998056754
"SPY",2016-11-30,0
"SPY",2016-12-30,0
"SPY",2017-01-31,0
"SPY",2017-02-28,0
"SPY",2017-03-31,0
"SPY",2017-04-28,0
"SPY",2017-05-31,0
"SPY",2017-06-30,0
"SPY",2017-07-31,0
"SPY",2017-08-31,0
"SPY",2017-09-29,0
"SPY",2017-10-31,0
"SPY",2017-11-30,0
"SPY",2017-12-29,0
"SPY",2018-01-31,0
"SPY",2018-02-28,117547.703449431
"SPY",2018-03-29,0
"SPY",2018-04-30,0
"SPY",2018-05-31,0
"SPY",2018-06-29,0
"SPY",2018-07-31,0
"SPY",2018-08-31,0
"SPY",2018-09-28,0
"SPY",2018-10-31,4365.97464171785
"SPY",2018-11-30,0
"SPY",2018-12-31,0
"SPY",2019-01-31,0
"SPY",2019-02-28,0
"SPY",2019-03-29,0
"SPY",2019-04-30,0
"SPY",2019-05-31,14152.9531121231
"SPY",2019-06-28,0
"SPY",2019-07-31,0
"SPY",2019-08-30,-1154.55179366143
"SPY",2019-09-30,0
"SPY",2019-10-31,0
"SPY",2019-11-29,0
"SPY",2019-12-31,0
"SPY",2020-01-31,0
"SPY",2020-02-28,1709.43590837007
"SPY",2020-03-31,0
"SPY",2020-04-22,0
